PID,Social Media Post,Normalized Claim,post
1,"President 
 @realDonaldTrump
 : ""Biden's plan would mean America's seniors have no air conditioners during the summer.""","Biden’s energy plan would get rid of seniors’ air conditioning, heat and electricity",president realdonaldtrump bidens plan would mean americas seniors have no air conditioners during the summer.
2,"IMPORTANT ANNOUNCEMENT - CORONAVIRUS
Last evening dining out with friends, one of their uncles, who's graduated with a master's degree and who worked in Shenzhen Hospital (Guangdong Province, China) sent him the following notes on Coronavirus for guidance:
1. If you have a runny nose and sputum, you have a common cold
2. Coronavirus pneumonia is a dry cough with no runny nose.
3. This new virus is not heat-resistant and will be killed by a temperature of just 26/27 degrees. It hates the Sun.
4. If someone sneezes with it, it takes about 10 feet before it drops to the ground and is no longer airborne.
5. If it drops on a metal surface it will live for at least 12 hours - so if you come into contact with any metal surface - wash your hands as soon as you can with a bacterial soap.
6. On fabric it can survive for 6-12 hours. normal laundry detergent will kill it.
7. Drinking warm water is effective for all viruses. Try not to drink liquids with ice.
8. Wash your hands frequently as the virus can only live on your hands for 5-10 minutes, but - a lot can happen during that time - you can rub your eyes, pick your nose unwittingly and so on.
9. You should also gargle as a prevention. A simple solution of salt in warm water will suffice.
10. Can't emphasise enough - drink plenty of water!
THE SYMPTOMS
1. It will first infect the throat, so you'll have a sore throat lasting 3/4 days
2. The virus then blends into a nasal fluid that enters the trachea and then the lungs, causing pneumonia. This takes about 5/6 days further.
3. With the pneumonia comes high fever and difficulty in breathing.
4. The nasal congestion is not like the normal kind. You feel like you're drowning. It's imperative you then seek immediate attention.
SPREAD THE WORD - PLEASE SHARE.","If someone with the new coronavirus sneezes, it travels about 10 feet before it drops to the ground and is no longer airborne","important announcement coronavirus last evening dining out with friends, one of their uncles, who is graduated with a masters degree and who worked inch shenzhen hospital guangdong province, china sent him the following notes on coronavirus for guidance 1. if you have a runny nose and sputum, you have a common cold 2. coronavirus pneumonia is a dry cough with no runny nose. 3. this new virus is not heatresistant and will be killed by a temperature of just 2627 degrees. it hates the sun. 4. if someone sneezes with it, it takes about 10 feet before it drops to the ground and is no longer airborne. 5. if it drops on a metal surface it will live for at least 12 hours so if you come into contact with any metal surface wash your hands as soon as you can with a bacterial soap. 6. on fabric it can survive for 612 hours. normal laundry detergent will kill it. 7. drinking warm water is effective for all viruses. try not to drink liquids with ice. 8. wash your hands frequently as the virus can only live on your hands for 510 minutes, but a lot can happen during that time you can rub your eyes, pick your nose unwittingly and so on. 9. you should also gargle as a prevention. a simple solution of salt inch warm water will suffice. 10. cannot emphasise enough drink plenty of water! the symptoms 1. it will first infect the throat, so you will have a sore throat lasting 34 days 2. the virus then blends into a nasal fluid that enters the trachea and then the lungs, causing pneumonia. this takes about 56 days further. 3. with the pneumonia comes high fever and difficulty inch breathing. 4. the nasal congestion is not like the normal kind. you feel like you are drowning. it is imperative you then seek immediate attention. spread the word please share."
3,Heart is delighted to hear,Heart is delighted to hear,heart is delighted to hear
4,An allowed appeal is one where the initial refusal is overturned and the judge replaces the decision (most commonly with a decision to grant a form of status),"The vast majority of people coming across the Channel are economic migrants, they are not asylum seekers.",an allowed appeal is one where the initial refusal is overturned and the judge replaces the decision most commonly with a decision to grant a form of status
5,"WARM WATER THERAPY
Dr. D. Mensah Asare says that the main benefits of warm water are numerous.
A group of Japanese Doctors confirmed that warm water is 100% effective in resolving some health problems?, including:

Headache, migraine, high blood pressure, low blood pressure, pain of joints, sudden increasing and decreasing of heartbeat, Epilepsy, increasing level of cholesterol, cough, bodily discomfort, golu pain, asthma, hooping cough, blockage of veins, diseases related to uterus & urine, stomach problems, poor appetite, also all related diseases to the eyes, ear & throat.

HOW TO USE WARM WATER ?

DRINK 4 GLASSES OF WARM WATER (NOT ABOVE 100 DEGREE CENTIGRADE TEMPERATURE) ON EMPTY STOMACH FIRST THING IN THE MORNING AND EAT NOTHING UNTIL AN HOUR LATER
You may not be able to make 4 glasses at the beginning, but slowly you will.

The warm water therapy will resolve these health issues within reasonable periods:?
?*Diabetes in 30 days
?*Blood pressure in 30 days
?*Stomach related issues in 10 days
?*All types of cancer in 9 months
?*Blockage of veins in 6 months
?*Lack of hunger (Poor appetite?) in 10 days
?*Uterus and related diseases in 10 days
?*Nose, Ear & Throat problems in 10 days.
?*Women problems(?) in 15 days,
?*Heart diseases in 30 days
?*Headache/Migraine in 3 days
? *Low blood pressure in 30 days.
?*Cholesterol in 4 months
?*Epilepsy and paralysis continously in 9 months
?*Asthma in 4 months.

NO DOUBT WARM WATER ON EMPTY STOMACH EVERY MORNING WILL HELP IMMENSELY IN AIDING DIGESTION, ELIMINATING CONSTIPATION, ALLEVIATING PAIN, SHEDING EXCESS FATS, IMPROVING BLOOD CIRCULATION, SLOWING DOWN TO A GREAT MEASURE PREMATURE AGING ETC",A widely popular social media post claims that drinking warm water will cure a long list of diseases. We fact checked and found that the claim is Mostly False.,"warm water therapy dr. d. mensah asare says that the main benefits of warm water are numerous. a group of japanese doctors confirmed that warm water is 100 effective inch resolving some health problems?, including headache, migraine, high blood pressure, low blood pressure, pain of joints, sudden increasing and decreasing of heartbeat, epilepsy, increasing level of cholesterol, cough, bodily discomfort, golu pain, asthma, hooping cough, blockage of veins, diseases related to uterus urine, stomach problems, poor appetite, also all related diseases to the eyes, ear throat. how to use warm water ? drink 4 glasses of warm water not above 100 degree centigrade temperature on empty stomach first thing inch the morning and eat nothing until an hour later you may not be able to make 4 glasses at the beginning, but slowly you will. the warm water therapy will resolve these health issues within reasonable periods? ?diabetes inch 30 days ?blood pressure inch 30 days ?stomach related issues inch 10 days ?all types of cancer inch 9 months ?blockage of veins inch 6 months ?lack of hunger poor appetite? inch 10 days ?uterus and related diseases inch 10 days ?nose, ear throat problems inch 10 days. ?women problems? inch 15 days, ?heart diseases inch 30 days ?headachemigraine inch 3 days ? low blood pressure inch 30 days. ?cholesterol inch 4 months ?epilepsy and paralysis continously inch 9 months ?asthma inch 4 months. no doubt warm water on empty stomach every morning will help immensely inch aiding digestion, eliminating constipation, alleviating pain, sheding excess fats, improving blood circulation, slowing down to a great measure premature aging etc"
6,"In Thane, Thyrocare lab sealed by gov., because they gave fake covid positive reports to ppl. The reason behind this is this lab have connection with pvt. Hospitals and after fake positive reports they send that person to that particular hospitals those have three lakhs rupees package for Covid patient. False positives putting Thane citizens at risk. Please share so it can reach to Max people",Thyrocare labs are sealed in Thane over false-positive COVID19 testing,"inch thane, thyrocare lab sealed by gov., because they gave fake covid positive reports to people. the reason behind this is this lab have connection with pvt. hospitals and after fake positive reports they send that person to that particular hospitals those have three lakhs rupees package for covid patient. false positives putting thane citizens at risk. please share so it can reach to max people"
7,Meanwhile in Kipsigis a covid patient was nearly buried alive. MoH has really bungled this pandemic and the best thing they could all do is resign.,COVID-19 victim was almost buried alive,meanwhile inch kipsigis a covid patient was nearly buried alive. moh has really bungled this pandemic and the best thing they could all do is resign.
8,"DID YOU KNOW?

Eating 2 onions daily helps increase immunity, treat depression, fight the common cold and flu being a potent natural antibiotic, and it helps you sleep better!",Eating 2 slices of onions a day treat depression,"did you know? eating 2 onions daily helps increase immunity, treat depression, fight the common cold and flu being a potent natural antibiotic, and it helps you sleep better!"
9,"QAnon promoters on Telegram, including QAnon John, are already speculating baselessly that the elementary school shooting in Uvalde, Texas, was a false flag.","The shooting at an elementary school in Uvalde County, Texas, was a false flag.","qanon promoters on telegram, including qanon john, are already speculating baselessly that the elementary school shooting inch uvalde, texas, was a false flag."
10,"In Asia, where hundreds of millions of smallpox vaccinations were given from 1967 to 1972, AIDS remains rare. Conversely, the US is experiencing a major AIDS epidemic. Yet smallpox was eradicated there many years ago","According to the Times in 1987, smallpox vaccines triggered the awakening of dormant HIV among recipients, causing the AIDS epidemic.","inch asia, where hundreds of millions of smallpox vaccinations were given from 1967 to 1972, acquired immunodeficiency syndrome remains rare. conversely, the us is experiencing a major acquired immunodeficiency syndrome epidemic. yet smallpox was eradicated there many years ago"
11,"If you have migraines just put a little bit under your tongue, within minutes you will feel your migraine easing up","If you have migraines just put a little bit under your tongue, within minutes you will feel your migraine easing up.","if you have migraines just put a little bit under your tongue, within minutes you will feel your migraine easing up"
12,"There is a possibility that these common adverse reactions, that are not dangerous in fitter, younger patients and are not unusual with vaccines, may aggravate underlying disease in the elderly",23 people in Norway died after getting the Pfizer Covid-19 vaccine.,"there is a possibility that these common adverse reactions, that are not dangerous inch fitter, younger patients and are not unusual with vaccines, may aggravate underlying disease inch the elderly"
13,"In honor of #TaxDay, I remind you that Governor Evers wanted to increase your taxes by $1 billion just for heating your homes. Instead, Republicans cut your taxes by more than $2 billion. 
 
 We want to keep more money in your pockets.","Says Gov. Tony Evers ""wanted to increase your taxes by $1 billion just for heating your homes Instead, Republicans cut your taxes by more than $2 billion."" ","inch honor of taxday, i remind you that governor evers wanted to increase your taxes by 1 billion just for heating your homes. instead, republicans cut your taxes by more than 2 billion. we want to keep more money inch your pockets."
14,"Bengali actor Aindrila Sharma passed away at the age of 24 in a private hospital in Howrah today after suffering multiple cardiac arrests last night. 
 
 Another effect of Covid Vaccine! Young people getting heart attacks! Slowly people are dying due to vaccine! #COVIDBooster",Bengali actor Aindrila Sharma die of the covid vaccine,bengali actor aindrila sharma passed away at the age of 24 inch a private hospital inch howrah today after suffering multiple cardiac arrests last night. another effect of covid vaccine! young people getting heart attacks! slowly people are dying due to vaccine! covidbooster
15,"Our study found that engaging in 7 h of mental work similar to that found in an office environment, with 10-min breaks every 50 min, can negatively impact cognitive efficiency, suppress brain neural network activity, and cause mental fatigue. These effects do not fully recover after a 4.5-h rest","A study shows short breaks during a working day cause mental exhaustion that affects a person’s focus, as well as attention, learning and visual recognition.","our study found that engaging inch 7 h of mental work similar to that found inch an office environment, with 10minute breaks every 50 minute, can negatively impact cognitive efficiency, suppress brain neural network activity, and because mental fatigue. these effects do not fully recover after a 4.5h rest"
16,#staywoke #conspiracytheory #moonlanding #space #wakeup,Buzz Aldrin admitted the Moon landings were faked in an interview.,staywoke conspiracytheory moonlanding space wakeup
17,"Thrilled that 
 @US_FDA
  has granted Fast Track Designation for our mRNA-based combo vaccine candidate for influenza and #COVID19, expediting the review time so we hopefully can bring this potential: https://on.pfizer.com/3FbIXop","Pfizer CEO Albert Bourla resigned, saying mRNA vaccines are “not safe.”
","thrilled that usfda has granted fast track designation for our mrnabased combo vaccine candidate for influenza and covid19, expediting the review time so we hopefully can bring this potential hypertext transfer protocol secureon.pfizer.com3fbixop"
18,Two terrorists caught by police with courage and intelligence at Dahod railway station. Some people and employees of the railway administration were held hostage at gunpoint by the terrorists,Two terrorists caught by police with courage and intelligence at Dahod railway station. Some people and employees of the railway administration were held hostage at gunpoint by the terrorists.,two terrorists caught by police with courage and intelligence at dahod railway station. some people and employees of the railway administration were held hostage at gunpoint by the terrorists
